"w15_26_3nm_NiOx - RawData"
"Wavelength nm."	"Abs."
510,20	0,257
510,40	0,254
510,60	0,250
510,80	0,247
511,00	0,247
511,20	0,248
511,40	0,245
511,60	0,244
511,80	0,244
512,00	0,242
512,20	0,241
512,40	0,242
512,60	0,244
512,80	0,245
513,00	0,245
513,20	0,247
513,40	0,249
513,60	0,251
513,80	0,254
514,00	0,256
514,20	0,257
514,40	0,259
514,60	0,263
514,80	0,266
515,00	0,269
515,20	0,270
515,40	0,274
515,60	0,277
515,80	0,279
516,00	0,282
516,20	0,285
516,40	0,287
516,60	0,289
516,80	0,290
517,00	0,292
517,20	0,295
517,40	0,295
517,60	0,294
517,80	0,293
518,00	0,294
518,20	0,294
518,40	0,294
518,60	0,295
518,80	0,292
519,00	0,290
519,20	0,291
519,40	0,289
519,60	0,286
519,80	0,283
520,00	0,283
520,20	0,281
520,40	0,276
520,60	0,273
520,80	0,271
521,00	0,267
521,20	0,264
521,40	0,261
521,60	0,259
521,80	0,256
522,00	0,253
522,20	0,249
522,40	0,247
522,60	0,246
522,80	0,243
523,00	0,242
523,20	0,242
523,40	0,241
523,60	0,241
523,80	0,241
524,00	0,240
524,20	0,238
524,40	0,239
524,60	0,242
524,80	0,242
525,00	0,243
525,20	0,243
525,40	0,246
525,60	0,247
525,80	0,247
526,00	0,248
526,20	0,250
526,40	0,252
526,60	0,254
526,80	0,256
527,00	0,259
527,20	0,262
527,40	0,263
527,60	0,265
527,80	0,267
528,00	0,269
528,20	0,273
528,40	0,275
528,60	0,277
528,80	0,279
529,00	0,279
529,20	0,280
529,40	0,282
529,60	0,282
529,80	0,281
530,00	0,281
530,20	0,282
530,40	0,283
530,60	0,285
530,80	0,286
531,00	0,282
531,20	0,281
531,40	0,282
531,60	0,282
531,80	0,280
532,00	0,279
532,20	0,276
532,40	0,272
532,60	0,271
532,80	0,271
533,00	0,270
533,20	0,266
533,40	0,261
533,60	0,258
533,80	0,256
534,00	0,254
534,20	0,254
534,40	0,252
534,60	0,248
534,80	0,245
535,00	0,243
535,20	0,242
535,40	0,241
535,60	0,239
535,80	0,235
536,00	0,234
536,20	0,236
536,40	0,235
536,60	0,232
536,80	0,233
537,00	0,235
537,20	0,237
537,40	0,238
537,60	0,238
537,80	0,240
538,00	0,241
538,20	0,242
538,40	0,243
538,60	0,245
538,80	0,246
539,00	0,249
539,20	0,254
539,40	0,257
539,60	0,258
539,80	0,259
540,00	0,262
540,20	0,266
540,40	0,269
540,60	0,271
540,80	0,274
541,00	0,276
541,20	0,278
541,40	0,281
541,60	0,282
541,80	0,284
542,00	0,287
542,20	0,289
542,40	0,291
542,60	0,292
542,80	0,294
543,00	0,294
543,20	0,292
543,40	0,292
543,60	0,293
543,80	0,291
544,00	0,290
544,20	0,289
544,40	0,288
544,60	0,287
544,80	0,287
545,00	0,288
545,20	0,286
545,40	0,281
545,60	0,279
545,80	0,279
546,00	0,277
546,20	0,274
546,40	0,271
546,60	0,269
546,80	0,267
547,00	0,265
